b1_52 [  3.75040952e-07]
b1_152 [ -5.01136782e-06]
b2_0 [-0.0004796]
b2_1 [ -2.79096687e-06]
b2_2 [ 0.00010148]
b2_3 [ 0.00015362]
b2_4 [ 0.00037647]
b1_52 [  5.18303855e-07]
b1_152 [ -5.81668733e-06]
b2_0 [-0.00048762]
b2_1 [  4.57190662e-06]
b2_2 [ 0.00010751]
b2_3 [ 0.0002019]
b2_4 [ 0.0004111]
b1_52 [  3.23910699e-07]
b1_152 [ -5.32259258e-06]
b2_0 [-0.00049586]
b2_1 [  5.31813017e-05]
b2_2 [  9.75702208e-05]
b2_3 [ 0.00017059]
b2_4 [ 0.00034395]
b1_52 [  3.36527527e-07]
b1_152 [ -5.34209209e-06]
b2_0 [-0.00048547]
b2_1 [  2.90117070e-05]
b2_2 [ 0.00011183]
b2_3 [ 0.00016189]
b2_4 [ 0.00035667]
b1_52 [  3.75313815e-07]
b1_152 [ -5.51559413e-06]
b2_0 [-0.00057214]
b2_1 [  4.43528421e-05]
b2_2 [ 0.00012265]
b2_3 [ 0.00016412]
b2_4 [ 0.00034742]
b1_52 [  3.63868878e-07]
b1_152 [ -5.46436841e-06]
b2_0 [-0.00053657]
b2_1 [  4.73941153e-05]
b2_2 [ 0.00015149]
b2_3 [ 0.00013495]
b2_4 [ 0.00035105]
b1_52 [  4.06354534e-07]
b1_152 [ -5.60971751e-06]
b2_0 [-0.00056818]
b2_1 [  5.93123169e-05]
b2_2 [ 0.0001341]
b2_3 [ 0.00015456]
b2_4 [ 0.00036664]
b1_52 [  3.87411212e-07]
b1_152 [ -5.71974684e-06]
b2_0 [-0.0005275]
b2_1 [  2.41099338e-05]
b2_2 [ 0.00013889]
b2_3 [ 0.00013864]
b2_4 [ 0.00038615]
b1_52 [  5.60085807e-07]
b1_152 [ -6.39383554e-06]
b2_0 [-0.00067292]
b2_1 [  4.48760112e-05]
b2_2 [ 0.00014636]
b2_3 [ 0.00017192]
b2_4 [ 0.00039695]
b1_52 [  3.29542606e-07]
b1_152 [ -5.87387938e-06]
b2_0 [-0.00061407]
b2_1 [  5.89944093e-05]
b2_2 [ 0.00014664]
b2_3 [ 0.0001579]
b2_4 [ 0.00037861]
b1_52 [  4.00624111e-07]
b1_152 [ -6.82801840e-06]
b2_0 [-0.00061701]
b2_1 [  3.34197850e-05]
b2_2 [ 0.00019245]
b2_3 [ 0.00017993]
b2_4 [ 0.00041028]
b1_52 [  3.95212262e-07]
b1_152 [ -6.91706954e-06]
b2_0 [-0.00061533]
b2_1 [  3.75505707e-05]
b2_2 [ 0.00019078]
b2_3 [ 0.00017912]
b2_4 [ 0.00040811]
b1_52 [  4.32163055e-07]
b1_152 [ -6.88851535e-06]
b2_0 [-0.00060869]
b2_1 [  3.81203288e-05]
b2_2 [ 0.00020307]
b2_3 [ 0.00017928]
b2_4 [ 0.00040592]
b1_52 [  4.65117453e-07]
b1_152 [ -7.13169230e-06]
b2_0 [-0.00061271]
b2_1 [  3.89529065e-05]
b2_2 [ 0.00020501]
b2_3 [ 0.00016501]
b2_4 [ 0.00041397]
b1_52 [  4.47474312e-07]
b1_152 [ -7.03216434e-06]
b2_0 [-0.00060962]
b2_1 [  3.42253209e-05]
b2_2 [ 0.00019734]
b2_3 [ 0.00013894]
b2_4 [ 0.00041701]
b1_52 [  5.55186840e-07]
b1_152 [ -7.55659765e-06]
b2_0 [-0.00059405]
b2_1 [  1.99489757e-05]
b2_2 [ 0.00022234]
b2_3 [ 0.00015883]
b2_4 [ 0.00042624]
b1_52 [  4.42375767e-07]
b1_152 [ -6.72097880e-06]
b2_0 [-0.00058109]
b2_1 [  6.44374770e-05]
b2_2 [ 0.00020046]
b2_3 [ 0.00014041]
b2_4 [ 0.00040652]
b1_52 [  5.12500015e-07]
